DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
A,T,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,6972834.933
A,T,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,7529002.593
D,A,E,5J,B,5F,A,TO1,TO1,A,A,3,C,K,S,2021-S2,1409.459
D,A,E,5J,B,5F,A,TO1,TO1,A,A,3,C,K,S,2022-S1,1776.483
A,U,T,5J,O,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,130485.0
A,U,T,5J,O,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,123266.0
A,V,T,5J,L,5J,A,TO1,TO1,A,H,3,C,K,S,2021-S2,47492.0
A,V,T,5J,L,5J,A,TO1,TO1,A,H,3,C,K,S,2022-S1,43135.0
T,U,T,5J,N,5J,A,TO1,TO1,A,D,3,A,K,S,2021-S2,1142.0
T,U,T,5J,N,5J,A,TO1,TO1,A,D,3,A,K,S,2022-S1,896.0
A,R,B,5J,B,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,20754.047
A,R,B,5J,B,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,32139.405
A,C,B,5J,B,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,620994.465
A,C,B,5J,B,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,597724.103
A,C,B,5J,K,5J,A,TO1,TO1,D,A,3,C,K,S,2021-S2,250418.875
A,C,B,5J,K,5J,A,TO1,TO1,D,A,3,C,K,S,2022-S1,209869.827
T,U,T,5J,N,5J,B,TO1,TO1,A,A,3,A,K,S,2021-S2,853.0
T,U,T,5J,N,5J,B,TO1,TO1,A,A,3,A,K,S,2022-S1,794.0
Q,R,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,1217.625
Q,R,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,1134.725
A,W,T,5J,L,5J,A,TO1,TO1,F,A,3,C,K,S,2021-S2,18185.0
A,W,T,5J,L,5J,A,TO1,TO1,F,A,3,C,K,S,2022-S1,22170.0
A,W,T,5J,N,5J,A,TO1,TO1,A,B,3,C,K,S,2021-S2,17232.0
A,W,T,5J,N,5J,A,TO1,TO1,A,B,3,C,K,S,2022-S1,16414.0
A,A,E,5J,C,5U,A,TO1,TO1,A,A,3,C,K,S,2021-S2,344262.785
A,A,E,5J,C,5U,A,TO1,TO1,A,A,3,C,K,S,2022-S1,293076.225
T,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,A,K,S,2021-S2,21663.0
T,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,A,K,S,2022-S1,24776.0
C,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,54107.122
C,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,41000.052
T,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,2090977.585
T,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,2235383.934
A,V,T,5J,U,5J,A,TO1,TO1,A,D,3,C,K,S,2021-S2,9830.0
A,V,T,5J,U,5J,A,TO1,TO1,A,D,3,C,K,S,2022-S1,9225.0
A,W,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,4715555.504
A,W,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,4966949.453
