COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,CDS_PRMRECVD,GRPD,BK_B,GL_OP,S2675,2019-Q2
N_A,INR,CDS_PRMRECVD,NPPVBP,N_A,GL_OP,S2678,2019-Q2
N_A,N_A,CDS_PRMRECVD,REM,N_A,GL_OP,S2679,2019-Q2
N_A,N_A,TIRSINR,REM,N_A,GL_OP,S2693,2019-Q2
N_A,N_A,IRSFCY,REM,N_A,GL_OP,S2707,2019-Q2
N_A,INR,IRSFCY_LIBOR,TRBP,N_A,GL_OP,S2708,2019-Q2
N_A,INR,IRSFCY_LIBOR,TABR,N_A,GL_OP,S2709,2019-Q2
N_A,INR,IRSFCY_LIBOR,HABP,N_A,GL_OP,S2710,2019-Q2
N_A,INR,IRSFCY_LIBOR,HABR,N_A,GL_OP,S2711,2019-Q2
N_A,INR,IRSFCY_LIBOR,GRREC,TR_B,GL_OP,S2713,2019-Q2
N_A,INR,IRSFCY_LIBOR,GRREC,BK_B,GL_OP,S2714,2019-Q2
N_A,INR,IRSFCY_LIBOR,GRPD,TR_B,GL_OP,S2716,2019-Q2
N_A,INR,IRSFCY_LIBOR,GRPD,BK_B,GL_OP,S2717,2019-Q2
N_A,INR,IRSFCY_LIBOR,NPPVBP,N_A,GL_OP,S2720,2019-Q2
N_A,N_A,IRSFCY_LIBOR,REM,N_A,GL_OP,S2721,2019-Q2
N_A,INR,IRSFCY_OTH,TRBP,N_A,GL_OP,S2722,2019-Q2
N_A,INR,IRSFCY_OTH,TABR,N_A,GL_OP,S2723,2019-Q2
N_A,INR,IRSFCY_OTH,HABP,N_A,GL_OP,S2724,2019-Q2
N_A,INR,IRSFCY_OTH,HABR,N_A,GL_OP,S2725,2019-Q2
N_A,INR,IRSFCY_OTH,GRREC,TR_B,GL_OP,S2727,2019-Q2
N_A,INR,IRSFCY_OTH,GRREC,BK_B,GL_OP,S2728,2019-Q2
N_A,INR,IRSFCY_OTH,GRPD,TR_B,GL_OP,S2730,2019-Q2
N_A,INR,IRSFCY_OTH,GRPD,BK_B,GL_OP,S2731,2019-Q2
N_A,INR,IRSFCY_OTH,NPPVBP,N_A,GL_OP,S2734,2019-Q2
N_A,N_A,IRSFCY_OTH,REM,N_A,GL_OP,S2735,2019-Q2
N_A,N_A,TIRSINRFCY,REM,N_A,GL_OP,S2749,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,TRBP,N_A,GL_OP,S2750,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,TABR,N_A,GL_OP,S2751,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,HABP,N_A,GL_OP,S2752,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,HABR,N_A,GL_OP,S2753,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,GRREC,TR_B,GL_OP,S2755,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,GRREC,BK_B,GL_OP,S2756,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,GRPD,TR_B,GL_OP,S2758,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,GRPD,BK_B,GL_OP,S2759,2019-Q2
N_A,INR,NETWORTH_LASTMARCH,NPPVBP,N_A,GL_OP,S2762,2019-Q2
N_A,N_A,NETWORTH_LASTMARCH,REM,N_A,GL_OP,S2763,2019-Q2
N_A,INR,PVBP,TRBP,N_A,GL_OP,S2764,2019-Q2
N_A,INR,PVBP,TABR,N_A,GL_OP,S2765,2019-Q2
N_A,INR,PVBP,HABP,N_A,GL_OP,S2766,2019-Q2
N_A,INR,PVBP,HABR,N_A,GL_OP,S2767,2019-Q2
N_A,INR,PVBP,GRREC,TR_B,GL_OP,S2769,2019-Q2
N_A,INR,PVBP,GRREC,BK_B,GL_OP,S2770,2019-Q2
N_A,INR,PVBP,GRPD,TR_B,GL_OP,S2772,2019-Q2
N_A,INR,PVBP,GRPD,BK_B,GL_OP,S2773,2019-Q2
N_A,INR,PVBP,NPPVBP,N_A,GL_OP,S2776,2019-Q2
N_A,N_A,PVBP,REM,N_A,GL_OP,S2777,2019-Q2
N_A,N_A,IRS_FCY_IN_USD,REM,N_A,GL_OP,S2791,2019-Q2
