Agency,EntryPoint,Query,ResponseCode
ILO,https://www.ilo.org/sdmx/rest,/rulesetscheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,/userdefinedoperatorscheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,/customtypescheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,/namepersonalisationscheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,/namealiasscheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,"/data/ILO,DF_LUU_XLU2_SEX_EDU_MTS_RT,1.0/all/all",200
ILO,https://www.ilo.org/sdmx/rest,"/availableconstraint/ILO,DF_LUU_XLU2_SEX_EDU_MTS_RT,1.0/all/all/all",500
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/dataflow/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/datastructure/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/metadatastructure/all/all/latest,500
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/metadataflow/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/provisionagreement/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/structureset/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/process/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/categorisation/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/contentconstraint/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/actualconstraint/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/allowedconstraint/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/attachmentconstraint/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/structure/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/conceptscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/codelist/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/categoryscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/hierarchicalcodelist/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/organisationscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/agencyscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/dataproviderscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/dataconsumerscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/organisationunitscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/transformationscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/rulesetscheme/all/all/latest,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/userdefinedoperatorscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/customtypescheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/namepersonalisationscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/namealiasscheme/all/all/latest,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/conceptscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/codelist/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/categoryscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/hierarchicalcodelist/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/organisationscheme/all/all/latest/all,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/agencyscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/dataproviderscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/dataconsumerscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/organisationunitscheme/all/all/latest/all,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/transformationscheme/all/all/latest/all,404
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/rulesetscheme/all/all/latest/all,200
